WardID,WardName,WardName_New,DistrictID,DistrictName,ProvinceID,ProvinceName,ProvinceName_New,,,Status,FullMerger
800315,Xã Tự Do,Xã Hạnh Phúc,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800318,Xã Hạnh Phúc,Xã Hạnh Phúc,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800324,Thị trấn Hoà Thuận,Xã Phục Hòa,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800319,Thị trấn Tà Lùng,Xã Phục Hòa,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800325,Xã Mỹ Hưng,Xã Phục Hòa,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800322,Xã Đại Sơn,Xã Phục Hòa,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800308,Thị trấn Quảng Uyên,Xã Quảng Uyên,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800309,Xã Phi Hải,Xã Quảng Uyên,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800314,Xã Chí Thảo,Xã Quảng Uyên,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800313,Xã Phúc Sen,Xã Quảng Uyên,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800307,Xã Quốc Toản,Xã Trà Lĩnh,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800226,Thị trấn Trà Lĩnh,Xã Trà Lĩnh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800232,Xã Cao Chương,Xã Trà Lĩnh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800310,Xã Quảng Hưng,Xã Độc Lập,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800311,Xã Độc Lập,Xã Độc Lập,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
